Roll,AI_Mid,AI_End
1,7,5
2,15,37
3,25,48
4,9,34
5,13,34
6,21,32
7,7,9
8,19,42
9,,32.5
10,22,40.5
11,12,34
12,,34
13,18,36
14,13,32
15,22,45
16,24,45
17,19,37
18,18,36
19,18,43
20,8,22
21,14,30
22,18,25.5
23,13,38
24,22,46
25,18,39
26,24,47
27,16,25
28,20.5,45.5
29,16,34
30,6,27.5
31,12,34
32,21,38
33,22.5,38
34,19,35
35,21,46
36,15,35.5
37,22,41
38,13,28
39,20,40
40,22,46
41,19,42
42,19.5,38.5
43,21,44
44,20,43.5
45,20,40
46,12.5,20
47,21,35
48,,46
49,13,41
50,17,34
51,23.5,46
52,23,46
53,18,28
55,17,48.5
56,19,45
57,2,10
58,18,38
59,19,46
60,24,46
61,21,43
62,9,29
63,17,41.5
64,18,38
65,17,43
66,13,31
67,24,47
68,12,30
69,23,39.5
70,13,28
71,17,42
72,14,35
73,12,37
74,,26
75,,27
76,,40
77,,37
78,,42
79,,32
80,,36
81,,40
82,,29
83,,42
84,,21
85,,41
86,,40
87,,25
88,,35
89,,45
90,,36
91,,34
92,,41
93,,38
94,,41
95,,24
96,,43
97,,33
98,,24
100,,7
101,,26
102,,42
103,,37
104,,46
105,,39
106,,24
107,,33
108,,34
109,,36
110,,24
111,,32
112,,42
113,,37
114,,46
115,,37
116,,33
117,,32
118,,26
119,,36
120,,29
121,,33
122,,30
123,,28
124,,33
125,,50
126,,38
127,,43
128,,47
129,,37
130,,35
131,,24
132,,41
133,,46
134,,38
135,,29
136,,26
137,,41
138,,42
140,,34
141,,35
142,,31
143,,37
144,,39
145,,31
146,,36
147,,27
148,,31
